Season,TeamID,Games,Wins,Losses,WinPct,AvgPointsFor,AvgPointsAgainst,AvgMargin,eFG_Off,TORate_Off,ORBRate_Off,FTRate_Off,Elo_RegSeason,POM_Rank,SAG_Rank,Composite_Rank,SeedNum,IsSeeded,ConfStrength_Rank,Last15WinPct,Last15AvgMargin,ConfTourneyChamp
2003,1102,28,12,16,0.42857142857142855,57.25,57.0,0.25,0.5978768125146146,0.1917357207526739,0.16872940897361652,0.2994912051302532,1480.4600735937886,160.0,149.0,156.03125,100.0,0,4,0.2,-7.0,0
2003,1103,27,13,14,0.48148148148148145,78.77777777777777,78.14814814814815,0.6296296296296191,0.5385655714405728,0.15964007682111603,0.30625634939432256,0.3450789807173805,1495.7244820124295,163.0,172.0,168.0,100.0,0,13,0.4666666666666667,-1.0,0
2003,1104,28,17,11,0.6071428571428571,69.28571428571429,65.0,4.285714285714292,0.46752894508497295,0.16918282908044857,0.37240276501720554,0.2599572912717805,1543.6444239729026,33.0,37.0,38.03125,10.0,1,1,0.4,-1.2666666666666666,0
2003,1105,26,7,19,0.2692307692307692,71.76923076923077,76.65384615384616,-4.884615384615387,0.4675886550810054,0.20454044810164493,0.3503168288507397,0.27426781926511484,1359.2858694245294,307.0,312.0,308.96875,100.0,0,31,0.2,-1.8,0
2003,1106,28,13,15,0.4642857142857143,63.607142857142854,63.75,-0.1428571428571459,0.484095069223882,0.21415336738433416,0.3514451259484964,0.202964347757835,1429.4758222116875,263.0,268.0,262.6875,100.0,0,31,0.4666666666666667,2.2666666666666666,0
2003,1107,28,7,21,0.25,65.92857142857143,75.71428571428571,-9.785714285714278,0.49862445860333915,0.16821813898559212,0.24463030775375838,0.19059289030569682,1387.4335203343014,312.0,307.0,301.9375,100.0,0,21,0.2,-10.6,0
2003,1108,33,14,19,0.42424242424242425,69.0909090909091,73.12121212121212,-4.030303030303031,0.4789306115813398,0.2097806414055792,0.3534399555170824,0.2510952019980147,1469.4736553760404,279.0,281.0,272.1875,100.0,0,31,0.6666666666666666,-0.13333333333333333,0
2003,1110,30,16,14,0.5333333333333333,66.36666666666666,61.9,4.4666666666666615,0.513702116747155,0.17781307759287046,0.30078797028164045,0.21778777267498686,1522.6792337374616,143.0,180.0,171.5625,100.0,0,24,0.6666666666666666,9.2,0
2003,1111,26,16,10,0.6153846153846154,83.26923076923077,81.73076923076923,1.5384615384615472,0.49039173089881083,0.17275464632706666,0.3232820321729427,0.2867161768891955,1492.7483085365402,170.0,152.0,157.5,100.0,0,23,0.5333333333333333,1.5333333333333334,0
2003,1112,28,25,3,0.8928571428571429,85.21428571428571,70.25,14.964285714285708,0.47882564846035613,0.15692042798797234,0.3862302264174109,0.24419634919842473,1673.3242144255248,3.0,2.0,2.676470588235294,1.0,1,7,0.8666666666666667,13.2,0
2003,1113,29,18,11,0.6206896551724138,75.96551724137932,69.17241379310344,6.793103448275872,0.5054852311339257,0.17027168004239218,0.38943655646689146,0.3038051643966855,1567.6514699397128,32.0,32.0,36.0,10.0,1,7,0.5333333333333333,4.666666666666667,0
